"","1","2","3","4","5","6","7"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","test","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","test","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","test","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","test","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","test","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","TÉT","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"","","","","","","","Đan Thuỷ|1990-01-24|Ca Sĩ"
"","","","","","","","Yến Lê|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"","","","","","","","Đan Thuỷ|1990-01-24|Ca Sĩ"
"","","","","","","","Yến Lê|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy@gmail.com","","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"","","","","","","","Đan Thuỷ|1990-01-24|Ca Sĩ"
"","","","","","","","Yến Lê|1990-01-24|Ca Sĩ"
"TEST","2016-08-01","00:00:00","NGUYEN QUOC HUY","989139264","huy@gmail.com","","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"","","","","","","","Đan Thuỷ|1990-01-24|Ca Sĩ"
"","","","","","","","Yến Lê|1990-01-24|Ca Sĩ"
"TEST","2016-08-29","00:00:00","NGUYEN QUOC HUY","989139263","huy2@gmail.com","TST","Thanh Hà|1990-01-24|Ca Sĩ"
"","","","","","","","Thái Kiều Linh|1990-01-24|Ca Sĩ"
"","","","","","","","Hoàng Thuyên|1990-01-24|Ca Sĩ"
"","","","","","","","Đan Thuỷ|1990-01-24|Ca Sĩ"
"","","","","","","","Yến Lê|1990-01-24|Ca Sĩ"
